_id,CODIGO,CAMINO,ETAPA,COORD_X,COORD_Y,TIPO_SENAL
215,215,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),605227,4734781,Mojón
216,216,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),604941,4734282,Mojón
217,217,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),604592,4733766,Mojón
218,218,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),604336,4733287,Mojón
219,219,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),604209,4733171,Mojón
220,220,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),603063,4732470,Señal Cruce Carretera
221,221,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),603015,4732412,Señal Cruce Carretera
222,222,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602982,4732387,Mojón
223,223,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602506,4732084,Mojón
224,224,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602505,4731893,Mojón
225,225,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602536,4731688,Mojón
226,226,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602463,4731016,Mojón
227,227,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602184,4730659,Mojón
228,228,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),602156,4730533,Mojón
229,229,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),601994,4730144,Mojón
230,230,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),601699,4729043,Mojón
231,231,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),601440,4728497,Mojón
232,232,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),600668,4727101,Flecha Direccional
233,233,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),600295,4726720,Mojón
234,234,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),600206,4726640,Otros
235,235,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),598563,4725931,Señal Cruce Carretera
236,236,Francés,F4 (Pamplona/Iruña-Puente la Reina/Gares),598431,4725874,Mojón
